site,month_of_date_id,day_of_date_id,year_of_date_id,measure_names,person_type,supplier_type,measure_values
Site B,June,11,2017,Gross Booking Value,FRBO,Platform,226945.370989
Site A,June,12,2017,Gross Booking Value,FRBO,Platform,509512.556363
Site B,June,12,2017,Gross Booking Value,FRBO,Platform,247410.344859
Site A,June,13,2017,Gross Booking Value,FRBO,Platform,450882.252261
Site B,June,13,2017,Gross Booking Value,FRBO,Platform,264928.525536
Site A,June,14,2017,Gross Booking Value,FRBO,Platform,543294.909148
Site B,June,14,2017,Gross Booking Value,FRBO,Platform,215934.637325
Site A,June,15,2017,Gross Booking Value,FRBO,Platform,394315.988329
Site B,June,15,2017,Gross Booking Value,FRBO,Platform,236208.692449
Site A,June,16,2017,Gross Booking Value,FRBO,Platform,399150.033585
Site B,June,16,2017,Gross Booking Value,FRBO,Platform,155971.924794
Site A,June,17,2017,Gross Booking Value,FRBO,Platform,355661.260398
Site B,June,17,2017,Gross Booking Value,FRBO,Platform,175462.397908
Site A,June,18,2017,Gross Booking Value,FRBO,Platform,436126.187099
Site B,June,18,2017,Gross Booking Value,FRBO,Platform,228319.952886
Site A,June,19,2017,Gross Booking Value,FRBO,Platform,401295.210735
Site B,June,19,2017,Gross Booking Value,FRBO,Platform,240189.91766
Site A,June,20,2017,Gross Booking Value,FRBO,Platform,428987.64732
Site B,June,20,2017,Gross Booking Value,FRBO,Platform,237838.714569
Site A,June,21,2017,Gross Booking Value,FRBO,Platform,442591.993399
Site B,June,21,2017,Gross Booking Value,FRBO,Platform,216373.077919
Site A,June,22,2017,Gross Booking Value,FRBO,Platform,469985.679504
Site B,June,22,2017,Gross Booking Value,FRBO,Platform,228975.021475
Site A,June,23,2017,Gross Booking Value,FRBO,Platform,422420.4601
Site B,June,23,2017,Gross Booking Value,FRBO,Platform,145994.283784
Site A,June,24,2017,Gross Booking Value,FRBO,Platform,443400.687198
Site B,June,24,2017,Gross Booking Value,FRBO,Platform,137003.865851
Site A,June,25,2017,Gross Booking Value,FRBO,Platform,530563.134033
Site B,June,25,2017,Gross Booking Value,FRBO,Platform,181148.19878
Site A,June,26,2017,Gross Booking Value,FRBO,Platform,523653.1758
Site B,June,26,2017,Gross Booking Value,FRBO,Platform,284120.116244
Site A,June,27,2017,Gross Booking Value,FRBO,Platform,504996.183438
Site B,June,27,2017,Gross Booking Value,FRBO,Platform,237005.457835
Site A,June,28,2017,Gross Booking Value,FRBO,Platform,522554.821739
Site B,June,28,2017,Gross Booking Value,FRBO,Platform,210389.346307
Site A,June,29,2017,Gross Booking Value,FRBO,Platform,435131.520124
Site B,June,29,2017,Gross Booking Value,FRBO,Platform,205768.399632
Site A,June,30,2017,Gross Booking Value,FRBO,Platform,447137.658381
Site B,June,30,2017,Gross Booking Value,FRBO,Platform,175963.322573
Site A,May,1,2017,Gross Booking Value,FRBO,Platform,510099.787091
Site B,May,1,2017,Gross Booking Value,FRBO,Platform,321305.4339
Site A,May,2,2017,Gross Booking Value,FRBO,Platform,535660.815132
Site B,May,2,2017,Gross Booking Value,FRBO,Platform,270897.169491
Site A,May,3,2017,Gross Booking Value,FRBO,Platform,553512.593759
Site B,May,3,2017,Gross Booking Value,FRBO,Platform,228638.601919
Site A,May,4,2017,Gross Booking Value,FRBO,Platform,479089.064183
Site B,May,4,2017,Gross Booking Value,FRBO,Platform,232205.552048
Site A,May,5,2017,Gross Booking Value,FRBO,Platform,441256.514375
Site B,May,5,2017,Gross Booking Value,FRBO,Platform,189133.477473
Site A,May,6,2017,Gross Booking Value,FRBO,Platform,403036.032979
Site B,May,6,2017,Gross Booking Value,FRBO,Platform,221500.415559
Site A,May,7,2017,Gross Booking Value,FRBO,Platform,492551.958892
Site B,May,7,2017,Gross Booking Value,FRBO,Platform,251758.920481
Site A,May,8,2017,Gross Booking Value,FRBO,Platform,629222.137752
Site B,May,8,2017,Gross Booking Value,FRBO,Platform,313221.626809
Site A,May,9,2017,Gross Booking Value,FRBO,Platform,478142.523602
Site B,May,9,2017,Gross Booking Value,FRBO,Platform,256028.854021
Site A,May,10,2017,Gross Booking Value,FRBO,Platform,485468.07519
Site B,May,10,2017,Gross Booking Value,FRBO,Platform,234832.739377
Site A,May,11,2017,Gross Booking Value,FRBO,Platform,477373.267647
Site B,May,11,2017,Gross Booking Value,FRBO,Platform,240420.602927
Site A,May,12,2017,Gross Booking Value,FRBO,Platform,328619.471202
Site B,May,12,2017,Gross Booking Value,FRBO,Platform,178262.142505
Site A,May,13,2017,Gross Booking Value,FRBO,Platform,337487.881388
Site B,May,13,2017,Gross Booking Value,FRBO,Platform,171799.856652
Site A,May,14,2017,Gross Booking Value,FRBO,Platform,547435.694892
Site B,May,14,2017,Gross Booking Value,FRBO,Platform,226443.609178
Site A,May,15,2017,Gross Booking Value,FRBO,Platform,498637.626533
Site B,May,15,2017,Gross Booking Value,FRBO,Platform,276741.009495
Site A,May,16,2017,Gross Booking Value,FRBO,Platform,482354.762918
Site B,May,16,2017,Gross Booking Value,FRBO,Platform,203320.843886
Site A,May,17,2017,Gross Booking Value,FRBO,Platform,434474.198435
Site B,May,17,2017,Gross Booking Value,FRBO,Platform,213440.500229
Site A,May,18,2017,Gross Booking Value,FRBO,Platform,427018.482889
Site B,May,18,2017,Gross Booking Value,FRBO,Platform,218231.130331
Site A,May,19,2017,Gross Booking Value,FRBO,Platform,394529.177845
Site B,May,19,2017,Gross Booking Value,FRBO,Platform,196607.636511
Site A,May,20,2017,Gross Booking Value,FRBO,Platform,355163.742995
Site B,May,20,2017,Gross Booking Value,FRBO,Platform,141961.79923
Site A,May,21,2017,Gross Booking Value,FRBO,Platform,374493.102692
Site B,May,21,2017,Gross Booking Value,FRBO,Platform,228161.650685
Site A,May,22,2017,Gross Booking Value,FRBO,Platform,424113.31283
Site B,May,22,2017,Gross Booking Value,FRBO,Platform,210309.462123
Site A,May,23,2017,Gross Booking Value,FRBO,Platform,439627.715709
Site B,May,23,2017,Gross Booking Value,FRBO,Platform,237842.642791
Site A,May,24,2017,Gross Booking Value,FRBO,Platform,379707.960955
Site B,May,24,2017,Gross Booking Value,FRBO,Platform,215540.189031
Site A,May,25,2017,Gross Booking Value,FRBO,Platform,469831.756964
Site B,May,25,2017,Gross Booking Value,FRBO,Platform,172648.316141
Site A,May,26,2017,Gross Booking Value,FRBO,Platform,316528.438726
Site B,May,26,2017,Gross Booking Value,FRBO,Platform,167201.023816
Site A,May,27,2017,Gross Booking Value,FRBO,Platform,287578.734747
